latitude,longitude,population,cluster,centroid
44      ,-69      ,-999      ,0      ,44;-69
44      ,-69      ,-999      ,0      ,44;-69
44      ,-71      ,-999      ,0      ,44;-69
44      ,-68      ,2233      ,0      ,44;-69
43      ,-70      ,1374      ,0      ,44;-69
45      ,-68      ,-999      ,0      ,44;-69
45      ,-69      ,903       ,0      ,44;-69
44      ,-67      ,-999      ,0      ,44;-69
45      ,-68      ,-999      ,0      ,44;-69
44      ,-67      ,-999      ,0      ,44;-69
44      ,-68      ,992       ,0      ,44;-69
44      ,-68      ,-999      ,0      ,44;-69
45      ,-68      ,-999      ,0      ,44;-69
43      ,-70      ,1485      ,0      ,44;-69
43      ,-70      ,-999      ,0      ,44;-69
44      ,-68      ,-999      ,0      ,44;-69
44      ,-69      ,1233      ,0      ,44;-69
43      ,-70      ,884       ,0      ,44;-69
43      ,-70      ,1511      ,0      ,44;-69
45      ,-70      ,-999      ,0      ,44;-69
44      ,-69      ,-999      ,0      ,44;-69
44      ,-68      ,-999      ,0      ,44;-69
43      ,-69      ,15175     ,0      ,44;-69
44      ,-68      ,-999      ,0      ,44;-69
45      ,-69      ,-999      ,0      ,44;-69
44      ,-69      ,-999      ,0      ,44;-69
44      ,-68      ,-999      ,0      ,44;-69
44      ,-69      ,-999      ,0      ,44;-69
44      ,-70      ,-999      ,0      ,44;-69
44      ,-69      ,-999      ,0      ,44;-69
43      ,-71      ,-999      ,0      ,44;-69
46      ,-68      ,709       ,0      ,44;-69
44      ,-67      ,-999      ,0      ,44;-69
45      ,-68      ,-999      ,0      ,44;-69
44      ,-67      ,-999      ,0      ,44;-69
46      ,-67      ,-999      ,0      ,44;-69
44      ,-69      ,-999      ,0      ,44;-69
44      ,-69      ,-999      ,0      ,44;-69
44      ,-68      ,1029      ,0      ,44;-69
43      ,-69      ,-999      ,0      ,44;-69
44      ,-68      ,-999      ,0      ,44;-69
44      ,-69      ,-999      ,0      ,44;-69
43      ,-70      ,-999      ,0      ,44;-69
45      ,-68      ,-999      ,0      ,44;-69
47      ,-67      ,-999      ,0      ,44;-69
45      ,-69      ,1257      ,0      ,44;-69
47      ,-68      ,-999      ,0      ,44;-69
44      ,-68      ,-999      ,0      ,44;-69
44      ,-69      ,-999      ,0      ,44;-69
44      ,-67      ,-999      ,0      ,44;-69
43      ,-70      ,-999      ,0      ,44;-69
44      ,-68      ,-999      ,0      ,44;-69
44      ,-70      ,-999      ,0      ,44;-69
44      ,-68      ,-999      ,0      ,44;-69
44      ,-72      ,-999      ,0      ,44;-69
44      ,-68      ,-999      ,0      ,44;-69
44      ,-68      ,-999      ,0      ,44;-69
45      ,-67      ,-999      ,0      ,44;-69
44      ,-69      ,-999      ,0      ,44;-69
44      ,-69      ,6297      ,0      ,44;-69
44      ,-71      ,-999      ,0      ,44;-69
44      ,-70      ,-999      ,0      ,44;-69
44      ,-69      ,-999      ,0      ,44;-69
43      ,-70      ,2499      ,0      ,44;-69
44      ,-68      ,-999      ,0      ,44;-69
44      ,-69      ,1097      ,0      ,44;-69
43      ,-70      ,21277     ,0      ,44;-69
44      ,-68      ,-999      ,0      ,44;-69
44      ,-71      ,-999      ,0      ,44;-69
44      ,-68      ,-999      ,0      ,44;-69
45      ,-68      ,-999      ,0      ,44;-69
43      ,-70      ,-999      ,0      ,44;-69
