x,y,population,cluster,centroid
812,511,93420,0,821;517
833,523,268685,0,821;517
828,512,1145956,0,821;517
822,538,27731,0,821;517
829,508,422718,0,821;517
819,508,297050,0,821;517
823,527,602095,0,821;517
810,499,331298,0,821;517
810,529,1226699,0,821;517
214,396,3817117,1,223;403
232,409,375770,1,223;403
779,447,9538,2,780;412
817,415,21090,2,780;412
777,458,17212,2,780;412
776,394,14899,2,780;412
744,446,2513,2,780;412
762,417,26424,2,780;412
747,434,11267,2,780;412
839,409,350202,2,780;412
799,363,55342,2,780;412
801,416,8340,2,780;412
771,383,22084,2,780;412
763,393,69367,2,780;412
794,377,66537,2,780;412
761,445,28298,2,780;412
837,368,28933,2,780;412
795,422,22598,2,780;412
747,418,21992,2,780;412
769,402,17868,2,780;412
769,396,32808,2,780;412
762,459,23498,2,780;412
781,465,109233,2,780;412
750,399,920581,2,780;412
807,364,226073,2,780;412
816,385,384504,2,780;412
802,481,15535,2,780;412
762,467,25011,2,780;412
851,337,900993,2,780;412
745,411,127317,2,780;412
750,448,7719,2,780;412
776,383,25213,2,780;412
765,390,60485,2,780;412
804,398,160099,2,780;412
803,474,27115,2,780;412
826,412,38892,2,780;412
775,402,15994,2,780;412
776,429,13063,2,780;412
773,423,9023,2,780;412
789,479,41551,2,780;412
757,457,3451,2,780;412
834,359,46639,2,780;412
809,404,22621,2,780;412
758,416,18317,2,780;412
798,442,18236,2,780;412
785,369,451225,2,780;412
809,370,33140,2,780;412
768,466,44720,2,780;412
793,367,284304,2,780;412
742,362,52266,2,780;412
787,421,9980,2,780;412
786,385,25417,2,780;412
784,415,21187,2,780;412
796,477,67531,2,780;412
839,351,88247,2,780;412
780,401,1717,2,780;412
823,342,162878,2,780;412
773,389,28120,2,780;412
734,375,63942,2,780;412
796,433,27223,2,780;412
793,462,6792,2,780;412
767,421,155538,2,780;412
799,357,98075,2,780;412
804,431,11000,2,780;412
734,390,96317,2,780;412
761,410,23655,2,780;412
791,412,16930,2,780;412
757,428,8906,2,780;412
780,388,20166,2,780;412
817,368,76652,2,780;412
824,353,60582,2,780;412
741,419,66978,2,780;412
748,458,11008,2,780;412
752,483,8365,2,780;412
762,477,275487,2,780;412
800,372,28961,2,780;412
821,398,92501,2,780;412
744,480,14625,2,780;412
752,440,2799,2,780;412
758,402,85215,2,780;412
735,397,41475,2,780;412
737,447,27457,2,780;412
829,334,488406,2,780;412
839,381,136885,2,780;412
788,434,7421,2,780;412
816,404,15987,2,780;412
840,362,36152,2,780;412
768,450,21679,2,780;412
775,414,45720,2,780;412
796,404,200549,2,780;412
755,389,175511,2,780;412
736,430,140247,2,780;412
779,444,17634,2,780;412
785,439,16500,2,780;412
790,467,4034,2,780;412
828,360,26948,2,780;412
748,389,214346,2,780;412
790,427,6885,2,780;412
753,452,6694,2,780;412
735,401,28780,2,780;412
820,423,24777,2,780;412
768,441,23439,2,780;412
813,356,919628,2,780;412
745,430,189885,2,780;412
751,425,6865,2,780;412
774,452,40118,2,780;412
801,434,25520,2,780;412
846,332,267587,2,780;412
818,352,178011,2,780;412
792,400,124053,2,780;412
756,435,5010,2,780;412
