x,y,population,cluster,centroid
97,278,150865,0,100;291
95,290,930450,0,100;291
108,306,442179,0,100;291
745,451,3183,1,748;422
757,428,8906,1,748;422
767,421,155538,1,748;422
752,406,259424,1,748;422
711,442,11299,1,748;422
704,467,38319,1,748;422
741,390,100157,1,748;422
719,398,104430,1,748;422
706,307,28602,1,748;422
761,445,28298,1,748;422
702,439,43820,1,748;422
747,397,688078,1,748;422
755,421,27153,1,748;422
745,411,127317,1,748;422
754,412,64073,1,748;422
718,424,11539,1,748;422
761,410,23655,1,748;422
770,394,116714,1,748;422
734,422,34215,1,748;422
752,433,8742,1,748;422
769,396,32808,1,748;422
766,409,13900,1,748;422
741,419,66978,1,748;422
765,427,27695,1,748;422
758,402,85215,1,748;422
763,398,83768,1,748;422
772,408,21218,1,748;422
750,409,106567,1,748;422
734,390,96317,1,748;422
762,404,99958,1,748;422
719,452,13906,1,748;422
777,420,9563,1,748;422
758,395,805321,1,748;422
740,463,101547,1,748;422
775,414,45720,1,748;422
768,466,44720,1,748;422
687,408,17241,1,748;422
729,405,14972,1,748;422
780,401,1717,1,748;422
761,451,94565,1,748;422
745,430,189885,1,748;422
733,457,50251,1,748;422
756,474,46389,1,748;422
758,416,18317,1,748;422
709,427,43643,1,748;422
769,415,28669,1,748;422
730,442,10914,1,748;422
718,413,82291,1,748;422
744,425,32024,1,748;422
750,399,920581,1,748;422
747,418,21992,1,748;422
709,417,195085,1,748;422
755,446,9315,1,748;422
726,425,41616,1,748;422
706,460,13228,1,748;422
769,402,17868,1,748;422
692,417,194656,1,748;422
695,406,67023,1,748;422
744,402,132403,1,748;422
723,403,118572,1,748;422
740,436,52947,1,748;422
700,424,22915,1,748;422
804,398,160099,1,748;422
729,435,21452,1,748;422
699,447,11667,1,748;422
813,356,919628,1,748;422
770,476,14761,1,748;422
762,417,26424,1,748;422
720,431,79299,1,748;422
736,430,140247,1,748;422
691,431,15760,1,748;422
737,447,27457,1,748;422
704,411,658431,1,748;422
768,429,139900,1,748;422
717,463,37765,1,748;422
741,454,17302,1,748;422
724,415,13932,1,748;422
762,467,25011,1,748;422
816,385,384504,1,748;422
783,427,48434,1,748;422
699,457,23068,1,748;422
756,407,203922,1,748;422
720,440,229363,1,748;422
698,433,10591,1,748;422
762,424,12630,1,748;422
744,446,2513,1,748;422
747,434,11267,1,748;422
726,449,32899,1,748;422
775,402,15994,1,748;422
781,465,109233,1,748;422
712,452,20947,1,748;422
726,459,49946,1,748;422
763,393,69367,1,748;422
747,440,6058,1,748;422
730,465,26790,1,748;422
762,477,275487,1,748;422
796,404,200549,1,748;422
779,409,9429,1,748;422
751,425,6865,1,748;422
714,406,83593,1,748;422
773,423,9023,1,748;422
732,414,22913,1,748;422
711,434,54571,1,748;422
754,400,691893,1,748;422
792,400,124053,1,748;422
90,233,348432,2,79;224
77,188,177223,2,79;224
74,245,1418788,2,79;224
74,229,94737,2,79;224
81,225,72155,2,79;224
214,396,3817117,3,214;396
913,207,2230722,4,912;208
911,208,2504700,4,912;208
912,203,1385108,4,912;208
911,205,1585873,4,912;208
888,211,297735,5,903;206
883,216,349497,5,903;206
869,298,22591,6,847;267
789,287,193059,6,847;267
640,484,121097,7,631;455
647,445,141617,7,631;455
538,494,455746,7,631;455
633,513,111858,7,631;455
672,449,16732,7,631;455
622,488,23785,7,631;455
582,426,24552,7,631;455
663,459,67757,7,631;455
667,411,20634,7,631;455
582,406,22995,7,631;455
540,504,4092450,7,631;455
573,484,14445,7,631;455
644,326,75674,7,631;455
671,432,10456,7,631;455
597,354,41513,7,631;455
621,493,33386,7,631;455
690,457,25833,7,631;455
633,498,22102,7,631;455
656,480,55834,7,631;455
684,477,412992,7,631;455
650,488,233740,7,631;455
552,444,121729,7,631;455
685,429,9045,7,631;455
639,496,45924,7,631;455
672,458,20747,7,631;455
656,459,19568,7,631;455
657,469,55658,7,631;455
631,471,13131,7,631;455
644,437,95203,7,631;455
656,450,16491,7,631;455
641,509,96318,7,631;455
595,427,41639,7,631;455
562,451,23796,7,631;455
553,452,53330,7,631;455
668,397,82910,7,631;455
638,445,245284,7,631;455
594,440,46735,7,631;455
560,436,10546,7,631;455
627,486,440170,7,631;455
561,493,54635,7,631;455
681,448,13859,7,631;455
672,440,80261,7,631;455
581,495,192663,7,631;455
603,442,153716,7,631;455
568,335,38634,7,631;455
672,424,11545,7,631;455
580,438,41207,7,631;455
639,471,40404,7,631;455
647,504,432552,7,631;455
689,442,21027,7,631;455
637,455,29449,7,631;455
654,433,23805,7,631;455
584,475,52334,7,631;455
647,478,47168,7,631;455
662,433,29676,7,631;455
674,415,59774,7,631;455
651,496,343829,7,631;455
575,439,116979,7,631;455
642,500,52779,7,631;455
549,438,39309,7,631;455
628,502,23421,7,631;455
619,479,15625,7,631;455
569,424,43462,7,631;455
663,441,21720,7,631;455
581,486,35654,7,631;455
573,453,26656,7,631;455
672,405,36989,7,631;455
662,469,74934,7,631;455
570,442,254969,7,631;455
565,504,252267,7,631;455
663,425,19198,7,631;455
567,484,35710,7,631;455
571,498,81837,7,631;455
597,380,113237,7,631;455
682,463,17581,7,631;455
631,494,107215,7,631;455
681,435,13763,7,631;455
627,480,20267,7,631;455
458,551,250304,7,631;455
616,483,22802,7,631;455
667,469,12250,7,631;455
663,450,17062,7,631;455
681,419,19746,7,631;455
560,442,65631,7,631;455
651,469,27088,7,631;455
634,480,11203,7,631;455
654,441,28264,7,631;455
634,489,128026,7,631;455
666,417,47671,7,631;455
105,359,9818566,8,105;359
